Amravati,Amravati,Amravati W.M,W.M.Amravati - 2,Amravati,20003791,105 Villages RRWSS,Shirajgaon,1491,6,7.36,6.59,7.88,6.73,7.64,6.71,436.62,493.63,441.99,528.50,451.37,512.41,450.03,,,,,,,,,,,,,,0,0,7,27-May,28-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,0,0,7
Amravati,Amravati,Amravati W.M,W.M.Amravati - 2,Amravati,20003791,105 Villages RRWSS,Shirala,10390,6,2.19,2.61,2.09,1.86,2.10,2.35,24.45,21.08,25.08,20.12,17.90,20.21,22.62,,,,,,,,,,,,,,0,7,0,27-May,28-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,1,7,0
Amravati,Amravati,Amravati W.M,W.M.Amravati - 2,Amravati,20003791,105 Villages RRWSS,Talwel,4024,6,3.65,3.73,3.66,3.84,4.11,3.43,89.21,90.71,92.82,90.95,95.43,102.14,85.24,,,,,,,,,,,,,,0,0,7,27-May,28-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,0,0,7
Amravati,Amravati,Amravati W.M,W.M.Amravati - 2,Amravati,20003791,105 Villages RRWSS,Tarkheda,3773,3,3.66,3.84,1.40,3.64,3.31,3.62,97.80,97.01,101.78,37.11,96.47,87.73,95.94,,,,,,,,,,,,,,0,1,6,27-May,28-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,0,0,7
Amravati,Amravati,Amravati W.M,W.M.Amravati - 2,Amravati,20003791,105 Villages RRWSS,Takarkheda,1961,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,7,7,0,27-May,28-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,7,7,0
Amravati,Akola,Akola,Akola,Akola,20028565,"Akot 84 VRRWSS Tq. Akola, Akot & Telhara Dist. Akola",Warur,2400,1,3.36,0.00,0.00,9.72,4.28,0.00,255.00,140.00,0.00,0.00,405.00,178.33,0.00,,,,,,,,,,,,,,3,3,4,27-May,28-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,2,3,4
Amravati,Akola,Akola,Akola,Akola,20028565,"Akot 84 VRRWSS Tq. Akola, Akot & Telhara Dist. Akola",Wani,373,1,0.00,1.49,0.45,0.00,1.69,0.43,0.00,0.00,399.46,120.64,0.00,453.08,115.28,,,,,,,,,,,,,,3,3,4,27-May,28-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,6,6,1
Amravati,Akola,Akola,Akola,Akola,20028565,"Akot 84 VRRWSS Tq. Akola, Akot & Telhara Dist. Akola",Warula,1141,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,7,7,0,27-May,28-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,7,7,0
Amravati,Akola,Akola,Akola,Akola,20028565,"Akot 84 VRRWSS Tq. Akola, Akot & Telhara Dist. Akola",Taroda,755,1,0.01,0.35,0.00,0.00,0.01,0.00,59.60,1.32,46.36,0.00,0.00,1.32,0.00,,,,,,,,,,,,,,3,6,1,27-May,28-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,3,6,1
Amravati,Akola,Akola,Akola,Akola,20028565,"Akot 84 VRRWSS Tq. Akola, Akot & Telhara Dist. Akola",Takli Kh.,1728,4,1.25,0.00,0.18,0.67,2.33,1.36,17.36,72.34,0.00,10.42,38.77,134.84,78.70,,,,,,,,,,,,,,1,4,3,27-May,28-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,1,6,1
