"region","circle","division","sub_division","block","scheme_id","scheme_name","village_name","population","number_of_esr","water_value_day1","water_value_day2","water_value_day3","water_value_day4","water_value_day5","water_value_day6","lpcd_value_day1","lpcd_value_day2","lpcd_value_day3","lpcd_value_day4","lpcd_value_day5","lpcd_value_day6","lpcd_value_day7","water_date_day1","water_date_day2","water_date_day3","water_date_day4","water_date_day5","water_date_day6","lpcd_date_day1","lpcd_date_day2","lpcd_date_day3","lpcd_date_day4","lpcd_date_day5","lpcd_date_day6","lpcd_date_day7","consistent_zero_lpcd_for_a_week","below_55_lpcd_count","above_55_lpcd_count"
"Amravati","Akola","Buldhana","Khamgaon","Nandura","20028083","Wadali & 8 Villages RRWSS","Barafgaon",480,3,"0.860000","0.460000","0.680000","0.550000","0.140000","1.360000","0.000000","180.140000","96.620000","141.170000","114.350000","28.330000","282.310000","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr","11-Apr","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr",2,1,5
"Amravati","Amravati","Amravati W.M","W.M.Amravati - 2","Amravati","20003791","105 Villages RRWSS","Shirajgaon",1491,6,"7.490000","6.830000","8.040000","6.880000","4.290000","7.450000","407.270000","502.130000","458.080000","539.240000","461.440000","287.730000","499.840000","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr","11-Apr","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr",0,0,7
"Amravati","Amravati","Amravati W.M","W.M.Amravati - 2","Amravati","20003791","105 Villages RRWSS","Shirala",10390,6,"1.920000","2.940000","2.010000","3.180000","0.000000","7.150000","26.120000","18.480000","28.300000","19.350000","30.610000","0.000000","68.820000","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr","11-Apr","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr",6,1,1
"Amravati","Amravati","Amravati W.M","W.M.Amravati - 2","Amravati","20003791","105 Villages RRWSS","Talwel",4024,6,"3.350000","3.050000","3.750000","3.470000","2.600000","3.330000","84.070000","83.270000","75.800000","93.190000","86.230000","64.610000","82.680000","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr","11-Apr","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr",0,0,7
"Amravati","Amravati","Amravati W.M","W.M.Amravati - 2","Amravati","20003791","105 Villages RRWSS","Tarkheda",3773,3,"3.440000","3.820000","3.660000","3.810000","1.650000","4.130000","100.630000","91.280000","101.250000","97.010000","100.980000","43.730000","109.350000","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr","11-Apr","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr",1,0,6
"Amravati","Amravati","Amravati W.M","W.M.Amravati - 2","Amravati","20003791","105 Villages RRWSS","Takarkheda",1961,4,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr","11-Apr","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr",7,7,0
"Amravati","Akola","Akola","Akola","Akola","20028565","Akot 84 VRRWSS Tq. Akola, Akot & Telhara Dist. Akola","Warur",2400,1,"0.000000","3.710000","7.810000","5.020000","0.000000","0.000000","0.000000","0.000000","154.580000","325.300000","209.170000","0.000000","0.000000","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr","11-Apr","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr",4,4,3
"Amravati","Akola","Akola","Akola","Akola","20028565","Akot 84 VRRWSS Tq. Akola, Akot & Telhara Dist. Akola","Wani",373,1,"0.000000","0.000000","1.070000","0.490000","0.000000","0.000000","68.430000","0.000000","0.000000","286.860000","131.370000","0.000000","0.000000","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr","11-Apr","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr",4,4,3
"Amravati","Akola","Akola","Akola","Akola","20028565","Akot 84 VRRWSS Tq. Akola, Akot & Telhara Dist. Akola","Warula",1141,1,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr","11-Apr","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr",7,7,0
"Amravati","Akola","Akola","Akola","Akola","20028565","Akot 84 VRRWSS Tq. Akola, Akot & Telhara Dist. Akola","Takli Kh.",1728,4,"1.990000","0.640000","2.080000","0.540000","0.980000","1.500000","20.100000","114.950000","37.040000","120.370000","31.250000","56.710000","86.720000","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr","11-Apr","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr",7,0,0
