"region","circle","division","sub_division","block","scheme_id","scheme_name","village_name","population","number_of_esr","water_value_day1","water_value_day2","water_value_day3","water_value_day4","water_value_day5","water_value_day6","lpcd_value_day1","lpcd_value_day2","lpcd_value_day3","lpcd_value_day4","lpcd_value_day5","lpcd_value_day6","lpcd_value_day7","water_date_day1","water_date_day2","water_date_day3","water_date_day4","water_date_day5","water_date_day6","lpcd_date_day1","lpcd_date_day2","lpcd_date_day3","lpcd_date_day4","lpcd_date_day5","lpcd_date_day6","lpcd_date_day7","consistent_zero_lpcd_for_a_week","below_55_lpcd_count","above_55_lpcd_count","dashboard_url"
"Amravati","Amravati","Amravati W.M","W.M.Amravati - 2","Bhatkuli","20003791","105 Villages RRWSS","Deori",757,2,"1.250000","1.380000","0.670000","1.050000","1.150000","1.290000","147.950000","165.130000","182.300000","88.510000","138.710000","151.920000","170.410000","11-Jun","12-Jun","13-Jun","14-Jun","15-Jun","16-Jun","10-Jun","11-Jun","12-Jun","13-Jun","14-Jun","15-Jun","16-Jun",0,0,7,"https://14.99.99.166:18099/PIVision/#/Displays/10109/CEREBULB_JJM_MAHARASHTRA_VILLAGE_LEVEL_DASHBOARD?hidetoolbar=true&hidesidebar=true&mode=kiosk&rootpath=%5C%5CDemoAF%5CJJM%5CJJM%5CMaharashtra%5CRegion-Amaravati%5CCircle-Amravati%5CDivision-Amravati%20W.M%5CSub%20Division-W.M.Amravati%20-%202%5CBlock-Bhatkuli%5CScheme-20003791%20-%20105%20Villages%20RRWSS%5CDeori"
"Amravati","Amravati","Amravati W.M","W.M.Amravati - 2","Bhatkuli","20003791","105 Villages RRWSS","Dhamori",737,4,"34.330000","39.550000","38.310000","43.860000","39.310000","36.490000","2991.990000","4657.690000","5366.270000","5198.100000","5951.410000","5333.910000","4950.940000","11-Jun","12-Jun","13-Jun","14-Jun","15-Jun","16-Jun","10-Jun","11-Jun","12-Jun","13-Jun","14-Jun","15-Jun","16-Jun",0,0,7,"https://14.99.99.166:18099/PIVision/#/Displays/10109/CEREBULB_JJM_MAHARASHTRA_VILLAGE_LEVEL_DASHBOARD?hidetoolbar=true&hidesidebar=true&mode=kiosk&rootpath=%5C%5CDemoAF%5CJJM%5CJJM%5CMaharashtra%5CRegion-Amaravati%5CCircle-Amravati%5CDivision-Amravati%20W.M%5CSub%20Division-W.M.Amravati%20-%202%5CBlock-Bhatkuli%5CScheme-20003791%20-%20105%20Villages%20RRWSS%5CDhamori"
"Amravati","Amravati","Amravati W.M","W.M.Amravati - 2","Bhatkuli","20003791","105 Villages RRWSS","Dhangarkheda",326,1,"0.010000","0.340000","0.710000","0.960000","0.000000","1.090000","358.900000","3.070000","104.290000","217.790000","294.480000","0.000000","334.360000","11-Jun","12-Jun","13-Jun","14-Jun","15-Jun","16-Jun","10-Jun","11-Jun","12-Jun","13-Jun","14-Jun","15-Jun","16-Jun",1,2,5,"https://14.99.99.166:18099/PIVision/#/Displays/10109/CEREBULB_JJM_MAHARASHTRA_VILLAGE_LEVEL_DASHBOARD?hidetoolbar=true&hidesidebar=true&mode=kiosk&rootpath=%5C%5CDemoAF%5CJJM%5CJJM%5CMaharashtra%5CRegion-Amaravati%5CCircle-Amravati%5CDivision-Amravati%20W.M%5CSub%20Division-W.M.Amravati%20-%202%5CBlock-Bhatkuli%5CScheme-20003791%20-%20105%20Villages%20RRWSS%5CDhangarkheda"
"Amravati","Amravati","Amravati W.M","W.M.Amravati - 2","Bhatkuli","20003791","105 Villages RRWSS","Gajanan Township",0,3,"4.230000","4.300000","4.500000","5.030000","5.190000","4.470000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","11-Jun","12-Jun","13-Jun","14-Jun","15-Jun","16-Jun","10-Jun","11-Jun","12-Jun","13-Jun","14-Jun","15-Jun","16-Jun",0,7,0,"https://14.99.99.166:18099/PIVision/#/Displays/10109/CEREBULB_JJM_MAHARASHTRA_VILLAGE_LEVEL_DASHBOARD?hidetoolbar=true&hidesidebar=true&mode=kiosk&rootpath=%5C%5CDemoAF%5CJJM%5CJJM%5CMaharashtra%5CRegion-Amaravati%5CCircle-Amravati%5CDivision-Amravati%20W.M%5CSub%20Division-W.M.Amravati%20-%202%5CBlock-Bhatkuli%5CScheme-20003791%20-%20105%20Villages%20RRWSS%5CGajanan%20Township"
"Amravati","Amravati","Amravati W.M","W.M.Amravati - 2","Bhatkuli","20003791","105 Villages RRWSS","Hatkhed",1221,3,"0.620000","0.800000","0.690000","0.510000","0.890000","0.670000","57.330000","50.780000","65.520000","56.510000","41.770000","72.890000","54.870000","11-Jun","12-Jun","13-Jun","14-Jun","15-Jun","16-Jun","10-Jun","11-Jun","12-Jun","13-Jun","14-Jun","15-Jun","16-Jun",0,3,4,"https://14.99.99.166:18099/PIVision/#/Displays/10109/CEREBULB_JJM_MAHARASHTRA_VILLAGE_LEVEL_DASHBOARD?hidetoolbar=true&hidesidebar=true&mode=kiosk&rootpath=%5C%5CDemoAF%5CJJM%5CJJM%5CMaharashtra%5CRegion-Amaravati%5CCircle-Amravati%5CDivision-Amravati%20W.M%5CSub%20Division-W.M.Amravati%20-%202%5CBlock-Bhatkuli%5CScheme-20003791%20-%20105%20Villages%20RRWSS%5CHatkhed"
"Amravati","Amravati","Amravati W.M","W.M.Amravati - 2","Bhatkuli","20003791","105 Villages RRWSS","Hiwara",689,1,"12.140000","7.890000","12.250000","7.850000","11.360000","8.490000","1161.100000","1761.970000","1145.140000","1777.940000","1139.330000","1648.770000","1232.220000","11-Jun","12-Jun","13-Jun","14-Jun","15-Jun","16-Jun","10-Jun","11-Jun","12-Jun","13-Jun","14-Jun","15-Jun","16-Jun",0,0,7,"https://14.99.99.166:18099/PIVision/#/Displays/10109/CEREBULB_JJM_MAHARASHTRA_VILLAGE_LEVEL_DASHBOARD?hidetoolbar=true&hidesidebar=true&mode=kiosk&rootpath=%5C%5CDemoAF%5CJJM%5CJJM%5CMaharashtra%5CRegion-Amaravati%5CCircle-Amravati%5CDivision-Amravati%20W.M%5CSub%20Division-W.M.Amravati%20-%202%5CBlock-Bhatkuli%5CScheme-20003791%20-%20105%20Villages%20RRWSS%5CHiwara"
"Amravati","Amravati","Amravati W.M","W.M.Amravati - 2","Bhatkuli","20003791","105 Villages RRWSS","Jalaka",1577,1,"0.310000","0.450000","0.520000","0.550000","0.290000","0.650000","30.440000","19.660000","28.540000","32.970000","34.880000","18.390000","41.220000","11-Jun","12-Jun","13-Jun","14-Jun","15-Jun","16-Jun","10-Jun","11-Jun","12-Jun","13-Jun","14-Jun","15-Jun","16-Jun",0,7,0,"https://14.99.99.166:18099/PIVision/#/Displays/10109/CEREBULB_JJM_MAHARASHTRA_VILLAGE_LEVEL_DASHBOARD?hidetoolbar=true&hidesidebar=true&mode=kiosk&rootpath=%5C%5CDemoAF%5CJJM%5CJJM%5CMaharashtra%5CRegion-Amaravati%5CCircle-Amravati%5CDivision-Amravati%20W.M%5CSub%20Division-W.M.Amravati%20-%202%5CBlock-Bhatkuli%5CScheme-20003791%20-%20105%20Villages%20RRWSS%5CJalaka"
"Amravati","Amravati","Amravati W.M","W.M.Amravati - 2","Bhatkuli","20003791","105 Villages RRWSS","Khanapur",681,2,"0.440000","0.450000","0.450000","0.450000","0.140000","0.440000","67.550000","64.610000","66.080000","66.080000","66.080000","20.560000","64.610000","11-Jun","12-Jun","13-Jun","14-Jun","15-Jun","16-Jun","10-Jun","11-Jun","12-Jun","13-Jun","14-Jun","15-Jun","16-Jun",0,1,6,"https://14.99.99.166:18099/PIVision/#/Displays/10109/CEREBULB_JJM_MAHARASHTRA_VILLAGE_LEVEL_DASHBOARD?hidetoolbar=true&hidesidebar=true&mode=kiosk&rootpath=%5C%5CDemoAF%5CJJM%5CJJM%5CMaharashtra%5CRegion-Amaravati%5CCircle-Amravati%5CDivision-Amravati%20W.M%5CSub%20Division-W.M.Amravati%20-%202%5CBlock-Bhatkuli%5CScheme-20003791%20-%20105%20Villages%20RRWSS%5CKhanapur"
"Amravati","Amravati","Amravati W.M","W.M.Amravati - 2","Bhatkuli","20003791","105 Villages RRWSS","Kharala",2392,3,"10.110000","10.110000","9.650000","9.750000","9.900000","9.610000","413.880000","422.660000","422.660000","403.430000","407.610000","413.880000","401.760000","11-Jun","12-Jun","13-Jun","14-Jun","15-Jun","16-Jun","10-Jun","11-Jun","12-Jun","13-Jun","14-Jun","15-Jun","16-Jun",0,0,7,"https://14.99.99.166:18099/PIVision/#/Displays/10109/CEREBULB_JJM_MAHARASHTRA_VILLAGE_LEVEL_DASHBOARD?hidetoolbar=true&hidesidebar=true&mode=kiosk&rootpath=%5C%5CDemoAF%5CJJM%5CJJM%5CMaharashtra%5CRegion-Amaravati%5CCircle-Amravati%5CDivision-Amravati%20W.M%5CSub%20Division-W.M.Amravati%20-%202%5CBlock-Bhatkuli%5CScheme-20003791%20-%20105%20Villages%20RRWSS%5CKharala"
"Amravati","Amravati","Amravati W.M","W.M.Amravati - 2","Bhatkuli","20003791","105 Villages RRWSS","Kharwadi",1634,1,"1.570000","1.310000","1.430000","1.170000","0.810000","1.170000","92.410000","96.080000","80.170000","87.520000","71.600000","49.570000","71.600000","11-Jun","12-Jun","13-Jun","14-Jun","15-Jun","16-Jun","10-Jun","11-Jun","12-Jun","13-Jun","14-Jun","15-Jun","16-Jun",0,1,6,"https://14.99.99.166:18099/PIVision/#/Displays/10109/CEREBULB_JJM_MAHARASHTRA_VILLAGE_LEVEL_DASHBOARD?hidetoolbar=true&hidesidebar=true&mode=kiosk&rootpath=%5C%5CDemoAF%5CJJM%5CJJM%5CMaharashtra%5CRegion-Amaravati%5CCircle-Amravati%5CDivision-Amravati%20W.M%5CSub%20Division-W.M.Amravati%20-%202%5CBlock-Bhatkuli%5CScheme-20003791%20-%20105%20Villages%20RRWSS%5CKharwadi"
